add-none,2,100,400,23243396,58108,0
add-none,2,1000,4000,23404724,5851,0
add-none,2,10000,40000,26622569,665,0
add-none,2,100000,400000,36333329,90,0
add-none,4,100,800,28398024,35497,0
add-none,4,1000,8000,30590479,3823,194
add-none,4,10000,80000,25148916,314,-813
add-none,4,100000,800000,56443743,70,-69300
add-none,8,100,1600,40547419,25342,0
add-none,8,1000,16000,33817323,2113,-245
add-none,8,10000,160000,27632688,172,-1494
add-none,8,100000,1600000,83470027,52,-17438
add-none,12,100,2400,34494996,14372,-40
add-none,12,1000,24000,35176464,1465,-18
add-none,12,10000,240000,66262749,276,-1228
add-none,12,100000,2400000,62158258,25,-117503
add-yield-none,2,10,40,39441682,986042,0
add-yield-none,4,10,80,80405442,1005068,0
add-yield-none,12,10,240,78301986,326258,0
add-yield-none,8,10,160,58402147,365013,0
add-yield-none,2,20,80,34429157,430364,0
add-yield-none,4,20,160,34442936,215268,0
add-yield-none,8,20,320,59705540,186579,0
add-yield-none,2,40,160,73132598,457078,0
add-yield-none,12,20,480,105026329,218804,0
add-yield-none,4,40,320,42078492,131495,0
add-yield-none,8,40,640,82482310,128878,0
add-yield-none,12,40,960,74620539,77729,0
add-yield-none,2,80,320,34430520,107595,0
add-yield-none,4,80,640,63440292,99125,0
add-yield-none,8,80,1280,62545148,48863,0
add-yield-none,2,100,400,32726793,81816,0
add-yield-none,12,80,1920,78860181,41073,69
add-yield-none,4,100,800,68445236,85556,0
add-yield-none,8,100,1600,54501516,34063,0
add-yield-none,12,100,2400,99466594,41444,0
add-yield-none,2,1000,4000,77416602,19354,0
add-yield-none,4,1000,8000,81409886,10176,3
add-yield-none,8,1000,16000,69900941,4368,0
add-yield-none,12,1000,24000,120959694,5039,0
add-yield-none,2,10000,40000,166785085,4169,1230
add-yield-none,4,10000,80000,158421805,1980,-5762
add-yield-none,8,10000,160000,188191741,1176,278
add-yield-none,12,10000,240000,337759708,1407,3031
add-yield-none,2,100000,400000,855401605,2138,-47750
add-yield-none,4,100000,800000,1261169568,1576,-57190
add-yield-none,8,100000,1600000,1495463891,934,-27557
add-yield-none,12,100000,2400000,1926919467,802,-26639
add-none,1,100,200,12398212,61991,0
add-none,1,1000,2000,16508911,8254,0
add-none,1,10000,20000,14424123,721,0
add-none,1,100000,200000,14722821,73,0
add-none,1,1000000,2000000,37719854,18,0
add-yield-none,8,1000,16000,96253771,6015,934
add-yield-none,8,10000,160000,221755149,1385,-6294
add-yield-none,12,1000,24000,70606494,2941,-213
add-yield-none,12,10000,240000,198076510,825,2861
add-yield-none,2,1000,4000,44756919,11189,0
add-yield-none,2,10000,40000,159868008,3996,-1796
add-yield-none,4,1000,8000,88436452,11054,0
add-yield-none,4,10000,80000,135443636,1693,0
add-yield-m,2,10000,40000,1004917527,25122,0
add-yield-m,4,10000,80000,729537757,9119,0
add-yield-m,8,10000,160000,1635678232,10222,0
add-yield-m,12,10000,240000,1416869591,5903,0
add-yield-c,2,10000,40000,107745778,2693,0
add-yield-c,4,10000,80000,174107857,2176,0
add-yield-c,8,10000,160000,364530355,2278,0
add-yield-c,12,10000,240000,409704929,1707,0
add-yield-s,2,10000,40000,595740172,14893,0
add-yield-s,4,10000,80000,4513174875,56414,0
add-yield-s,8,1000,16000,2613492426,163343,0
add-yield-s,12,1000,24000,18343683486,764320,0
add-m,1,10000,20000,23533515,1176,0
add-m,2,10000,40000,24052397,601,0
add-m,4,10000,80000,28604383,357,0
add-m,8,10000,160000,48430510,302,0
add-m,12,10000,240000,56455882,235,0
add-c,1,10000,20000,1583769,79,0
add-c,2,10000,40000,14409966,360,0
add-c,4,10000,80000,34439649,430,0
add-c,8,10000,160000,42072587,262,0
add-c,12,10000,240000,54339390,226,0
add-s,1,10000,20000,9069067,453,0
add-s,2,10000,40000,9796083,244,0
add-s,4,10000,80000,41398096,517,0
add-s,8,10000,160000,60430175,377,0
add-s,12,10000,240000,38902880,162,0
